scheme,instance,method,alpha,status,objective,f_true,feasible,covered_at_xstar,slack,x0,x1,x2,x3,x4
unit,6,nominal,0.1,optimal,1196.9144515548514,45.86636386646075,0,0,-0.6284582092812059,874.7516656512853,1166.3355542017136,997.18,1.0654520818344917,10.654520818344928
unit,7,cmicl,0.1,optimal,1713.211785034389,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,7,nominal,0.1,optimal,1638.1107714405318,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,8,cmicl,0.1,optimal,1517.9956928342554,50.36841137935497,1,1,0.36841137935525836,938.8275603894666,1192.2585113635314,997.18,1.1875859821205237,11.875859821205239
unit,8,nominal,0.1,optimal,1472.5110311485948,45.86636386646075,0,0,-0.6284582092812059,874.7516656512853,1166.3355542017136,997.18,1.0654520818344917,10.654520818344928
unit,9,cmicl,0.1,optimal,1732.7303177585748,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,9,nominal,0.1,optimal,1674.101645713892,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,10,cmicl,0.1,optimal,1899.1923466559026,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,10,nominal,0.1,optimal,1845.3567603925876,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,11,cmicl,0.1,optimal,1405.1270668834704,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,11,nominal,0.1,optimal,1336.1487823030477,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,12,cmicl,0.1,optimal,711.2168738031011,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,12,nominal,0.1,optimal,679.7131200549055,45.86636386646073,0,0,-0.6284582092811917,874.7516656512852,1166.3355542017134,997.18,1.0654520818344917,10.65452081834492
unit,13,cmicl,0.1,optimal,1806.9712473612565,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,13,nominal,0.1,optimal,1761.4999552900672,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,14,cmicl,0.1,optimal,2053.2687805456653,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,14,nominal,0.1,optimal,1910.4403535927493,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,15,cmicl,0.1,optimal,2078.7963753136796,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,15,nominal,0.1,optimal,1982.9620468542068,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,16,cmicl,0.1,optimal,1838.1102484471392,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,16,nominal,0.1,optimal,1760.466214775343,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,17,cmicl,0.1,optimal,2447.348512533197,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,17,nominal,0.1,optimal,2337.2708660178223,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,18,cmicl,0.1,optimal,2002.1394738968274,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,18,nominal,0.1,optimal,1852.2038630056156,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,19,cmicl,0.1,optimal,2047.323506259106,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,19,nominal,0.1,optimal,1990.4261389700514,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
